cau_goc,nhan
"Mình mới mua sáng nay luôn, giá 5tr940k. Mọi thứ đều ổn trừ camera: quá ảo, khi chụp camera trước mà đưa cận mặt sẽ bị mờ, nhòe.",0
pubg thì giật liên quân tạm đc. pin trâu .dở ở chỗ bắt wifi cực kém còn lại thấy ok,0
Ram 4gb mà hệ thống đã hơn 2gb rồi. Chơi liên quân không max setting được. Vân tay khá kém,0
Không hài lòng một chút nào. Màn hình có tông màu bị tối mang ra thế giới di động kiểm tra nhân viên xác nhận là tối mang mấy  máy ra so sánh. Nhưng lại bảo mang đi kiểm định rồi sau 30 ngày mới trả lời có đk đổi không. Mà máy mới mua hôm qua mùng 1 tháng 2 năm 2019,0
may dep chuan. tot,1
Mình Mới mua máy dc 2 tháng đt thường hay đứng máy nhảy loạn xạ mà vào thế giới di động nói để kiểm tra giúp thì mấy a cứ bảo đã cài đặt lại ,0
Sử dụng được khoảng 6 tháng Lỗi tháo bộ sạc xuất hiện dù đi bảo hành của sam sung về vẫn tiếp tục bị lại rất thất vọng.,0
"Ko hiểu sao có nhiều người nói pin trâu nhưng tôi mới mua được gần 1 tuần, sử dụng ở mức độ trung bình như nhắn tin lướt fb mà pin hao khá nhanh. Còn mượt thì cũng chỉ ở mức chấp nhận được, đôi khi không nhạy cho lắm. Chắc do tiền nào của nấy :<",0
Máy dùng ok đấy ạ... có thể vừa lắp sim nghe gọi và vừa có thể làm tai nghe blt nữa .... chủ shop thì rất nhiệt tình vậy nên cho shop 5 ⭐️⭐️⭐️⭐️⭐️,1
Đc mỗi cái giao nhanh Máy hình thức đẹp  Bắt sóng chập cha chập chờn  Nói chung là 1 sao cũng ko đáng,0
Các bạn ko nên mua shop này ko uy tín Bán đt ko có óc đít Tui sẽ làm clip bốc phốt lên Youtube Tui nói tui làm,0
"Làm 2 con 128GB, giá rất cạnh tranh so với những shop khác. Hàng nguyên seal tiếng Trung/Anh.  Bạn nào có ý định mua chờ unlock qua rom global thì lưu ý thời gian chờ là 408h (17 ngày) nhé.",1
dùng ổn. pin maximum 3 ngày. nghe gọi nhiều được 2 ngày. rẻ so với tầm giá,1
Quá tệ.bắt sống 4g quá yếu.pin tuột chóng măt.chẳng lẽ chịu mất 20% đợi máy khác chứ.,0
Tiền nào của lấy. Nhưng như vậy đã rất ok rồi cảm ơn shoppp🥰,1
"Mua máy được 2 ngày. Sạc 2 lần. Lần nào cắm sạc máy cũng bị nóng. Như vậy có phải pin bị lỗi không?
Mọi người cho ý kiến với. Thất vọng quá ",0
"Mình mua máy đc 18 ngày rùi, máy xài thì ok, có đều e ai gọi đến ko nhận cuộc gọi đc, tin nhắn cũng ko, phải khởi động máy lại mới xài đc",0
càm ứng thường xuyên bị loạn. Màn hình mặc dù đã khóa bảo mật và bật tránh vô tình bật màn hình khi bỏ túi nhưng vẫn tự chạm vẫn tự mở khóa khi bỏ túi. Loa tương ổn. Bàn phím thì hơi khó bấm. Còn lại thì ổn. ,0
sp OK chờ lazada kích bảo hành cho nữa là ok,1
Chủ shop nhiệt tình,1
Máy OK nhưng độ sáng màn hình yếu,1
Mới tinh tự bóc seal luôn.,1
"Gõ văn bản k chuẩn lắm và hay bị đơ máy. Có lúc đanb bình luận ở face thì biến mất phần đang soạn, 1 lúc mới hiện lại. Tìm kiếm số đt k linh động (gõ 1 phần trong chuỗi số k ra)",0
Ok *****,1
Hàng chất lượng kém  Màn hình lác 🧐😔,0
"Điện thoại đẹp lắm,nghe gọi ok Pin dùng khoảng 2 ngày . Hihi ưng lắm shop Mình hay dùng kết nối bluetooth với điện thoại chính của mình để nghe gọi và nghe nhạc,mua cái cài tai thay luôn tai nghe bluetooth. Tránh trường hợp bị cướp giựt. Bạn bè ai cũng hỏi là mua ở đâu mà đẹp thế,thế là mua  nguyên bộ đủ màu cho mọi người luôn ^^ thích lắm, cảm ơn shop nhiều nha",1
"rất uy tín , mong được hợp tác lâu dài cùng shop .",1
Shop phục vụ tốt - Đóng gói chắc chắn - giao nhanh - máy nguyên tem Nhà sản Xuất,1
"pin có lúc ổn có lúc tuột nhanh khó hiểu, camera thì màu sắt nhợt nhạt ko trung thực, chụp mãi mới có một tâm hình như ý. Chưa hài lòng cho lắm",0
Dien thoai sai mot ngay sat 3 lan can nhat khi mua bay gio minh rat hoi han minh tuong dt pin roi kg ngo pin duc ,0
Máy mới mua đúng 1 ngày hư luôn cảm ứng.  Chưa thấy cái máy nào tệ như máy này. Xài ngày đầu tiên thì máy lag.  Cảm bién vân tay thì tệ,0
"HÀng nguyên seal, đóng gói chắc chắn, shop hỗ trợ nhiêtj tình.  MÁy màu xanh phôí đen râts đẹp, cám ơn shop.",1
"Máy not 9 sóng yếu và pin cảm thấy tụt rất nhanh , mới mua mà thấy chán rồi, nản thật đấy",0
Máy đẹp giao hàng Nhanh,1
ok,1
5 3 phút là lên màng hình quản cáo.cảm thấy bực bội.ai bít tắt ở đâu chỉ dùm mình voi,0
Pin yếu Sạc rất lâu. 2h30 mà không đầy. Cần cải thiện thêm.,0
Shop gì làm ăn kg đàng hoàng sản phẩm bị liệt nút # mà cũng đóng gói gửi cho khách hàng lm ăn như thế làm gì còn khách nữa shop...,0
"mới nhận máy, ngoại hình máy rất đẹp, phụ kiện đầy đủ, đóng gói cẩn thận, shop nhiệt tình. Mình rất ưng ý, mới nhận nên chưa thử các chức năng, mới chỉ bật tắt nguồn ok. Cho shop 10 nếu có thể. Máy rất đáng tiền trong tầm giá",1
máy ổn mà mỗi tội tai nghe 😥,1
"Em mới phát hiện sau 3 tháng sử dụng kế bên camera selfish có hai đèn xanh và cam ma em chỉ Sài được den dưới da nhiệm ai chỉ em cách Sài den thông báo với hay nó bị hư rồi. Em phát hiện khi cầm đt ngoài nắng a chỉ em cách sử dụng nó với
",0
"Tệ quá ,máy rất hay bị đơ và đứng hình ,các ứng dụng như FB, Massage .. không thể khởi động nổi",0
"Máy rất ok dùng ko bị giật lag, rất mượt. Hình thức 97% nhưng máy nhìn rất mới. Chủ shop nhiệt tình tư vấn, mình rất hài lòng",1
Đặt ngày 8/8 mà 13/8 mới giao đc dù cùng ở HN. Đánh giá là quá chậm  Chat với shop thì ko thấy hỗ trợ hay trả lời. Chăm sóc khách hàng kém  Cho 4 sao thôi,0
"Sản phẩm ko đáng mua, mạng yếu sài tốc độ cao mà tưởng sài 2g. Coi fim hd thì cứ quay tròn,chán. Còn lâu lâu bị đơ vs loạn cảm ứng,",0
"Mới mua hôm qua, máy khá là dầy. Pin sạc nhanh nhưng cũng mầu chóng hết. Chụp hình xấu tệ. Máy không có cảm biến tiệm cận",0
"Máy xài không tốt làm,bắt sóng quá yếu mỗi lần điện phải dở tay lên cao mới có sóng,thất vọng thiệt máy thì đẹp mà xài quá dỡ,mọi người đừng mua uổng tiền lắm.",0
"Giao hàng nhanh, đóng gói kĩ, hàng đẹp, rất thích",1
Mới mua 2 ngày mà sao sài tác vụ bình thường mà nóng wa .xuống pin nhanh .giờ ko biết phải làm sao.,0
tôt,1
Thất vọng  Điện thoại có vẻ ổn nhưng sạc k vào pin chắc là do cục sạc,0
"sản phẩm rất ưng ý đúng hình, nguyên đai nguyên kiện, cảm ứng mượt vân tay nhạy  tốt chỉ tiếc là mua chậm quá nên không còn khuyến mãi.",1
"K ổn trong tầm giá. mấy cái vivo....hãng khác vẫn tốt hơn.
Nhược điểm máy hay lag vào game mạng yếu,mất kết nối..
Cam cũng ổn chụp ảnh tốt.. Vào fb youtube oki.
ram 2g vừa thoát ra vào đã phải chạy lại....
",0
Shop nên thường xuyên cập nhật trạng thái sản phẩm Đến khi chuẩn bị phải giao hàng cho khách rồi mới gọi cho khách hàng nói hết màu. Shop nói sẽ tặng kèm cường lực nhưng ko thấy tặng,0
Quá kém nhiều lúc rất đơ đăng video nên fb thì k đăng được  loạn màn hình . Màn hình mờ,0
"Pin 4000 mah mà để qua đêm tụt mất 5% mở lên bấm vài cái mất thêm 1% nữa.... cảm ứng thì k nhạy...bấm có lúc 2 3 lần mới ăn.... các bạn nên cân nhắc khi mua... tôi mới chỉ mua có nửa ngày thôi
",0
Pin kém. Camera trước gọi mesenger thì tối thui còn lại thì tạm đã dùng một năm mình k chơi game nên k bi đơ,0
Bể màng hình sạc thì không được,0
Không thây tem chính hãng ,0
"Ngoại hình còn rất đẹp, tuy nhiên pin hơi yếu và sử dụng 3g đien thoại rất nóng.",0
Điện thoại mua pass mà còn rất mới. Lần đầu mua máy điện thoại cũ mà ưng thế này,1
Máy sóng yếu. Hao pin . Màu camera nhạt . Tới giờ vẫn chưa có ốp lưng . Còn lại tốt. ,0
Sản phẩm sài ko đc rất chán thất vọng ,0
Ko hổ trợ thẻ nhớ dung lượng pin kém chỉ được cái camera chả được gì làm máy anh mi ni thì được ,0
"Máy mượt, lag giật chụp hình quá xấu ",0
Hàng nguyên hộp. Giao hàng nhanh. Hàng như mô tả zin 100% Chima,1
"Shop phục vụ nhiệt tình, giao hàng nhanh. Lần sau ủng hộ dài dài.",1
"Mới mua sản phẩm, với tiền vậy thì tạm. Camera nhoè, ko sắc nét, màu hơi giả. Còn lại ổn. Tuy nhiên, mình mua trả góp có lãi nhưng TGDD ko tặng 200k khi mình sinh nhật trong tháng 9 (phía trên ko nêu rõ, chỉ nói ko áp dụng cho trả góp 0%), đây là điều hệ thống cần coi lại để tôn trọng khách hàng. ",0
"Máy đẹp quá, đẹp hơn sự tưởng tượng, pin tuy chai 1 chút nhưng dùng vẫn OK, dung lượng còn 92%, Shop tư vấn nhiệt tình, hàng đáng để mua.",1
shop đéo cho chỗ nắp sim ,0
Hàng đẹp như hình mượt game max setting giao hàng nhanh trong vòng 1/2 ngày,1
Quá rẻ . Quá vừa túi tiền ,1
"Máy này thực sự sài lâu mỏi mắt hại mắt lướt fb ko mượt cảm giác vấp,mua thế giới di động sài 3 ngày mang trả lại mất toi 1tr ",0
Thề 1 lần duy nhất và cuối cùng dùng điện thoại của nokia...quá tệ... Chưa từng thấy con nào tệ như con này...máy lag và đơ liên tục. Máy nóng và pin cực kì kém. Thà mua những con hàng trung quốc cùng giá tiền dùng còn ngon hơn con này. ,0
hang dung rat ok,1
Quá tệ .....choi game giật lang....chán....oppo nên khai tử ...đi là vừa...... Không đáng số tiền bỏ ra... ,0
Cảm ơn shop.sp đúng như mô tả..,1
"xài 1 thgian thấy khá ổn nhưng 1 lỗi mất điểm nặng là chốt cắm sạc có vẻ quá yếu vì mình xài 1 thgian thì bị tình trạng chốt bị nhúc nhích khiến máy hok chịu sạc pin. mình phát hiện lỗi nảy ở cả 2 máy mua cùng 1 lượt và không bị va đập j mạnh
",0
Samsung Galaxy Note 9 sau 1 năm sử dụng trở thành phế phẩm mình là người sử dụng rất cẩn thận chưa hề bị rơi dính nước máy còn nguyên chưa có một vết trầy xước nhưng vừa hết bảo hành thì đã bị lỗi màn hình màn hình bị sọc và tối màu như vậy siêu phẩm Note 9 không bằng một chiếc điện thoại Trung Quốc Oppo F5 mình sử dụng 4nam mat kính trước và sau vỡ nát nhưng máy vẫn còn không bị lỗi gì từ đó Samsung đã làm mình thất vọng khuyên các bạn nên dùng dòng máy khác kinh tế hơn vẫn đáp ứng được nhu cầu sử dụng Tuy nhiên thương hiệu thì Samsung vẫn đẳng cấp hơn,0
Điện thoại rất đẹp rất mượt ❤️❤️ Cảm ơn shop rất nhiều ❤️❤️,1
KaiOs như 8110 4g  ram 512 sử dụng vài ngày đơ như cây cơ...chậm hơn rùa...thà thiết kế không hệ điều hành,0
Quá thất vọng. Camera kém. Cảm ứng tự động nhảy nhót linh tinh. Rất hay bị mất sóng kể cả 4g lẫn sóng đt bt. K thực hiện đc cuộc gọi. Dùng lâu là phải restart vì sẽ bị nhập chậm. Gõ tnhắn mà máy k nhập kịp. Mhình tràn viền nên khi cầm hay bị chạm cảm ứng ngay dưới góc trái do lòng bàn tay chạm phải Mua đc 1 tháng. Đc mỗi cái sạc nhanh vs pin cũng trâu thôi.,0
"đã test. chính hãng nhé mọi người. tôi rất ưng ý. siêu đẹp máy cầm rất thích. tất cả đều rất hoàn hảo. màu máy rất đẹp. sóng tốt, pin trâu chơi game siêu đỉnh. ok",1
"Mới mua hôm qua, chưa xài gì nhiều nhưng đã có hiện tượng lang. Vào CH play tải game cứ bị out. Được cái là mua trong đợt giảm giá và được tặng kèm tai nghe Bluetooth HAVIT I37. Đánh giá về tai nghe phải nói là ngon, âm thanh trong trẻo, bass đập tốt.",0
"Chuẩn hàng chính hãng , Mới 100% nguyên Hộp",1
trông chờ mãi mới mua được ẻm này rất xinh luôn,1
"E mua con 7 plus đc 5 ngày, hnay e thấy cái viền nó bị hở ra ạ. Mọi người cho e hỏi bh e ra tgdd có đc đổi máy mới k ạ",0
OK,1
tuyệt vời .chien game  ngon không tưởng  mình không phải trẻ trâu nên ít khi đánh giá nhưng khi nhận hàng thì thấy khá ok  máy đẹp cực  test thử loa mic rõ ràng  chất lượng đấy  thôi tặng anh shop  10 sao  luôn,1
Shop phục vụ rất tốt rất hài lòng c.on shop ✅✅✅✅✅,1
loa nghe rê rê va nhỏ,0
"Giao hàng cực nhanh,đóng gói cẩn thận mua của shop rất yên tâm",1
"Ful bộ cả khung luôn, lắp vào chạy mượt mà. Hàng qua sử dụng nhưng còn mới và rất ok.",1
"Nói chung thì là hợp lí, ngon bổ rẻ, he he.  E dễ tính nên máy thấy ok, ko có gì phải cá chê vì em chỉ nghe gọi, chúc shop đắt hàng.",1
Sạc nóng máy dù đã tắt tất cả ứng dụng ngầm. Máy sóng bắt sóng rất yếu. Cam thì nhòa nhòa. Vẫn không hài lòng lắm. ,0
Điện thoại rất đẹp nhưng không có ốp lưng Tại ko chụp điện thoại lại nên mới lấy hình đó,1
Hồi trc mua con intel a3f giá hơn triệu dùng tạm thấy tệ lắm rồi mà giờ mua con này còn tệ gấp trăm lần.   Quá hối hận khi mua máy a10s này .. Bước cái đag trả góp mới dc 1thág k thì mỗi lần đơ màn chỉ muốn cầm ngay ra TGDd bán lại ngay thôi .. Tệ nhất trog các loại máy tệ nhất từng dùng .... Mới dùg 1 thág mà cảm giác như đag dùng cái máy cũ kĩ mấy năm rồi.... 1ngày đơ màn k dưới 20 lần.....đã thế máy mới ra 2tháng mà tuần trc xem đã thấy hơn 1500 máy trả lại rồi.    ,0
Đóng gói chắc chắn lắm ạ shop tư vấn rất nhiệt tình,1
mới mua mà máy ko tự khoá màn hình được máy hơi nóng dùng không bằng xiaomi tầm giá,0
Không phải là bọn mình thi nhau nói xấu samsung chứ bỏ ra gần 7tr để mua con này thì không đáng đâu mọi người những ai mà chủ yếu lướt web hay xem phim thì thấy được chứ riêng mình thấy dở tệ cam,0
Vien duoi tuong doi mong so voi nhung dong khac se ung ho tiep,1
"Đã nhận được và rất hài lòng về sản phẩm, shop phục vụ nhiệt tình. 5*",1
Mk muốn trả hàng vi lỗi giơ làm sao để trả,0
"ok shop, máy dùng ngon quá",1
Bền và đẹp,1
hàng tệ ghê thất vọng vcl pin yếu sóng chập chờn ko làm gì đc lại còn lag ,0
Nut home luc duoc luc khong may chay suoc,0
Máy đẹphơn mình nghĩ. Sẽmua thêm màu xanh khi shop có hàng.,1
Hài lòng với sp.. Phù hợp với giá tiền,1
"Sạc pin củ xạc nóng máy cũng nóng nữa. Còn những thứ khác thì cũng sài được  , cam trước chụp không được đẹp. . cảm sau thì ok",0
Máy tuột pin siu nhanh.  Đã đổi đến cái thứ 2 vẫn như  v.. Bạn nao cho minh ý kiến  nên đoi cái nao xài ok hơn ,0
Mất vân tay .làm ăn kì cục .ko nên mua đâu.sai quá sai.!,0
"Mình dùng gần được một tuần thì sau đây là đánh giá của mình về hiệu năng và pin
Mình không chơi các game quá nặng nên máy phục vụ rất tốt (máy dùng chip khá hẻo nên game gủng nặng chắc sẽ lắc á). Còn lại các tác vụ khác ổn.
Nhưng đôi khi máy load khá lâu khi refresh lại trang, vào app (mình không rành nên không biết do máy hay phần mềm)
Về phần pin thì với nhu cầu của mình thì dùng được đến hai ngày, để qua đêm chỉ mất có 1~3% pin, mọi người thử tùy chỉnh máy xem sao, mình tùy chỉnh khá nhiều.
Vân tay, face id thì trung bình. Sạc nhanh ",0
"hàng kém chất lượng,  dùng chưa gì đã hư",0
"Pin của máy rất tệ để qua đem không làm gì cũng tuột xuống 30% đem ra tgdd nhân viên kỹ thuật test 5 phút tuột 1% mà báo là bình thường xong kêu đem lên hãng để hãng test trong khi tôi mua máy mới được 5 ngày nếu không lỗi thì đem ra gì, lúc mua thì nói ngon ngọt có lỗi cứ đưa ra e đổi liền trong khi đem ra lỗi rõ ràng vậy mà phải ép 1 2 khách đem gửi lên hãng giống như kéo dài thời gian đổi máy của tôi vậy",0
máy được pin quá yếu nút nguồn không khít,0
"Đã từng rất hy vọng khi mua máy nhưng sau 1 tháng lại rất thất vọng. Wifi kém, hay đơ máy. Nói chung là rất chán.",0
Của e bị shop gửi nhầm đơn e đã ý kiến với shop r mong shop sớm gửi sản phẩm đúng đơn e đặt lại nhanh nhất có thể,0
"Máy rất đẹp, shop tặng cả ốp lưng & Cường lực luôn. Có sẵn tiếng Việt và CH play, vân tay 1 chạm cực nhạy pubg thì rất ok. Ae mua ủng hộ shop nhé làm ăn rất uy tín :))",1
"Giao hàng tương đối nhanh, máy đẹp có xước nhẹ nhưng còn áp suất, màn không bị lưu ảnh. Phụ kiện đi kèm không phải chính hãng, sạc chậm.",1
"tốt trong tầm giá, nên mua!",1
"Đến nay máy vẫn dùng ok chưa có lỗi gì, chữ to, loa to. Shop giao hàng cực nhanh, phục vụ tốt :))",1
"Giao nhầm sang loại B, ám màn khá nặng, rõ chữ INCLUDED... trên màn, pin tụt khá nhanh bằng con s6 active mình dùng 3 năm. Gọi điện cho khách giọng điệu khó chịu, k chuyên nghiệp.. mình k đổi mà sẽ đánh giá 1*.",0
Mới mua hôm qua lun.Cảm ứng vân tay không nhạy. Nhấn lâu ơi là lâu mà vẫn báo không khớp.chán thiệc.cam sau chính vẫn chưa bit cách sd.,0
máy đầy đủ phụ kiện mượt mà đúng như quảng cáo 95%,1
Máy đẹp 99% sẽ ủng hộ shop,1
Dt chơi game quá tệ. Không giông như nhũng gì tư vấn. Bắt wifi ..3g 4g quá kém. Nói chung ai tính mua thì nên suy nghĩ lại sản phẩm này.,0
Nokia 6.1 mặt lưng đẹp chơi liên quân mở 40%  độ sánh cũng chỉ đc hơn 3 tiếng là hiết pin số với các hãng khác thì pin rất kém trong tâm giá ,0
"Pin yếu cỡ 7 8 phút tuột 1% , còn mọi thứ khác điều tốt , chụp hình đẹp, mượt mà ",0
đã nhận hàng. Nguyên Zin từ cái Nilong. Shop này rất uy tín và phục vụ chu đáo. Bh mình trải nghiệm máy đã rồi đánh giá cho tiếp nha,1
"Máy shop giao khá đẹp không lỗi lầm gì,sẽ ghé shop trong lần mua tới. ",1
"thiết kế tuyệt đẹp, mình mua bản màu xanh phỉ thúy đẹp mắt lắm. phải dặn shop lấy đúng màu mới chịu. đẹp chịu ko nổi. ở ngoài đẹp hơn rất nhiều.  camera chụp ảnh không có chỗ chê luôn. rất hài lòng, nhân viên nhiệt tình dễ thương và thân thiện.  mọi thứ đang rất tốt không có lỗi gì. Bạn nào còn chưa mua hoặc có ý định mua thì rước em nó về ngay nhé. máy sài tốt, chơi game ngon, cam sắc nét, chip set quá ổn.  Trải nghiệm với f9 rất tuyệt vời. ủng hộ shop và lazada",1
Ok,1
Máy ok,1
Hàng dùng rất tuyệt vời.,1
mình mới mua dc 1 tuần .sáng nay máy báo k có dịch vụ là máy bị j ạ ? vui lòng trả lời giúp mình nhé .thank,0
