CONTENT,STAR
"Quá tệ so với mức giá. Cảm ứng vân tay là tệ nhất. Mất quá nhieuef thời gian cho việc mở máy. Sim thường xuyên bị lỗi. Trước dùng iphone ko thấy trình trạng này. ",1
"Quá buồn khi mua em này, loa cuộc gọi siêu bé, không nghe được, vân tay không nhạy 1 tí gì. Mình mua được 2 tuần. Giờ mình phải làm sao????",2
"Mua cuối tháng 8 dùng được 10 ngày thấy vân tay không nhạy,loa nhỏ, màn hình cảm ứng bị lỗi, cứ nhảy ứng dụng liên tục. Lên đổi cái khác loa bị rè, bây giờ không biết sao đây ,không lẽ lên đổi tiếp ?.",3
"Chơi game vào những hôm thời tiết nóng thì phải nói là tái tay mặc dù đã chọn cấu hình mức thấp nhất là smooth của PUBG. Camera thì chấp nhận được, tác vụ thông thường thì nhiều khi hơi đơ đơ một chút nhưng cái này samsung cập nhật lại chắc khắc phục được. Cụm camera thì hay vào bụi, máy này chỉ thích hợp với a e nào làm việc ở môi trường sạch sẽ không bụi bẩn. Loa ngoài và loa thoại bé nên máy này không dành cho các cụ ngoài 50. Xử lý ảnh thì chưa hài lòng ở tầm giá này, nếu bạn chụp một bức ảnh, đặc biệt là màu đỏ ở cự ly gần thì nó rất rực và mất đi độ chi tiết của nó, ai thích hoa hồng thì máy này không dùng để chụp hoa hồng ở cự ly gần nhé :v :v xã chút thì tạm tạm. Nói về vân tay quang học của máy này thì không còn từ gì để nói về nó hơn là từ "tệ". Chung quy lại máy này thua quá xa các máy khác trong cùng tầm giá.",3
"Sản phẩm tệ quá, camera trượt lâu lâu bị vướng không lật hết , vân tay không nhạy mà màn hình quá nhạy (khóa để túi quần tự mở nhảy lung tung) .pin nhanh hết, loa trong quá nhỏ và rè. Với các lỗi này có đổi dc ko ?",1
"Lỗi nhiều quá.ko biết kêu ai.ngại với mọi người bạn tôi.lúc đầu camera thụt thò rất mượt mà bây giờ nó lúc lên lúc không.chịu luôn.nản với samsung tôi hay dùng.hỗ chợ coi tôi bảo hành ở đâu.",1
"Chụp hình, game ok, mỗi cái quan trọng nhất của chiếc điện thoại là nghe_ gọi thì quá tệ, nghe rè, quá nhỏ. 
Nhận máy 1/8/2019 đến nay đã đổi 1 lần vẫn Nguyên lỗi. Chắc phải chấp nhận mất 30% để đổi máy khác và chia tay Samsung luôn quá. Nản với cái đt 15t.",2
"cảm biến vân tay cực kì tệ, cài 1 lần 3 cái vân tay của 1 ngón tay, nhưng đa phần lúc quét vân tay đều không khớp phải quét lại nhiều lần, và khi nhận diện được vân tay thì một lúc sau máy mới mở lên, dù đã ghé cửa hàng đổi 1 cái điện thoại A80 cùng loại nhưng vẫn gặp tình trạng như thế",2
"Nhận máy 1/8 sử dụng đến 8/8 trả lại mất tớii 4 triệu . vân tay dùng quá ức chế pin tụt cực nhanh màn hình cảm ứng nhảy loạn",1
"Khi gọi điện nge nhỏ xíu và bị rè rè, xoay cam chậm và rè .
Quá thất vọng cho sản phẩm này",1
"Sp tụt pin cực kỳ nhanh, xoáy cầm nge tiếng to khó chịu , có khi bị giật lãng. Pin quá tệ, đọc báo thôi mà 15p tụt 10% pin",1
"Myk mua từ hôm 1.8 đến hn đước 8 ngày và bắt đầu thấy lỗi từ máy.thứ nhất là cảm biến vân tay k nhạy.có thể do cấu tạo của máy.thứ 2 là khi chơi game thỉnh thoảng máy bị khự lại.myk dùng ss j7+ 2 năm mà còn chưa bị vậy.đổi máy khác đc k nhỉ.15tr mà mới dùng 8 ngày đã vậy là k ổn",3
"Dây sạc ko tương thích vs sạc dự phòng gì hết lấy jk sạc, chơi game ko sạc đc thì chơi ntn. Đã vậy máy còn mau sụt pin nữa . Ko thể tin được là dòng A của ss lại cải tiến đến nz rồi khó cho người dùng",3
"Chưa thấy cái máy nào nó cùi bắp như cái này...chỉ muốn đập thôi.camera tầm 8mp là hết vẹo.lật lên lật xuống lỗi liên tục có khi phải dùng tay kéo nó ms Lên cái sản phẩm cùi bắp",1
"Về màn hình thì khỏi nói.. nhưng mang tiếng camera xoay đầu tiên trên  tg mak tui không nhầm là oppo mini n1 đã có rùi mak xoay tới 195 độ còn a80 có 180 độ hơisss vậy ai có đầu tiên bên mình trả lời dc ko ạ do mình kk rành lắm thấy sau nói vậy thui",1
"Tệ quá tệ.loa rè. lúc nào cũng nóng ran. Nhất là khi cấm xạc.tắt nguồn sạc vẫn nóng như muốn phát nổ đến nơi. Cảm biến vân tay thì ko nhạy. Mở máy bằng vân tây chắc phát điên lên .",1
"sản phẩm tệ vô cùng tận. loa rè pin nhanh hết. camera lúc đc lúc ko. sài lúc thì nóng máy",1
"Quá tệ. Tệ từ chất lượng âm thanh đến cả kết nối...đại loại là chưa bao giờ cảm thấy tệ từ khi mua cái điện thoai.",1
"mới mua đc 3 tháng đã lỗi phần mềm tự reset. ảnh thì chụp chán thực sự pin thì mau hết. miếng dán đt cũng ko có loại a80. tai nghe cũng ko có bán phải mua dây chuyển cổng ko thể hiểu đc sản xuất ra chi rồi ngta mua như đồ bỏ cạn lời thật sự",1
"Máy bị loạn, đung hơn đơ cảm ứng, vân tay kém nhạy, loa điên thoại k dc to khi đi đường chả biết ai gọi hay k. Nói chung tệ",1
"Sau khi bỏ j7 prime mua a80 và đung một thời gian có nhận xét như sau: pin thì không nói làm gì ( vì đã nhìn thấy trước ) wifi bắt sóng rất kém( trong khi j7prime vẫn 2 vạch sóng), phần mềm thì lỗi không chỉnh được độ sáng tự động,  vân tay cực kém cho dù lấy 3 mẫu vân tay cùng là ngón cái vẫn bị sai mật mã 5 lần.....",1
"Máy này lo trong quá tệ  ,pin thì chưa gì đã hết, mạng thì kém  lại còn bị đứng máy khi đang chơi game nữa chứ ,mới đem  em nó về mà muốn đập cho xong .giờ cảm thấy sợ hàng sam sung rồi đó  ,đem đổi  thì  mất 20/ 100 phí  tôi chỉ biết kêu trời ơi....",1
"Pin quá nhanh hết. Đề nghị nhà sản xuất trả lời. 1 chiếc máy khá cao giá mà làm ăn như này. Bảo sao ng ta bỏ samsung dần",2
"Mua về dùng mà thấy loa quá tệ nên chịu lỗ đổi lại sp khác mong mọi nguoi không nên mua ",1
"Thất vọng khi mua .loa nghe không rõ wf yếu camera thì .......nói chung sai lầm khi mua máy này",1
"Camera chụp hình đẹp. Pin tạm ổn. Cảm biến vân tay thì quá tệ. So với giá tiền thì hơi cao",3
"Loa tệ quá, nhiều khi ở chỗ hơi đông người chả nghe rõ gì,samsum dòng a mà chán ghê",2
"Máy quá tệ. Hiệu năng thì yếu. Chụp hình kém hơn dòng s và note. Camera thòi thụt nó bị dính bui rất dễ trầy nhìn kinh tỏm. Chỉ được coàn đẹp và pin trâu. Nói ching dở dở ương ương. Chô game k9 được chụp hình không xong. Khiyeen ko nên mua. Với giá này có thể mua s10 mới 100% rồi.",1
"mới mua e nó. mặc dù đã ko đánh giá cao nhưng vẫn phải thất vọng đôi chút về e nó. 
tệ nhất là cảm biến vân tay màn hình. tệ kinh khủng khiếp. 10 lần chắc mở máy được 2 lần. tốc độ mở cũng khá chậm.
pin xuống nhanh. mặc dù là máy mới chưa dc 1 tuần.
mặc dù la có trang bị sạc nhanh 25w nhưng vẫn chătng nhanh gì đâu cũng phải sạc tầm tiếng. mới mua chưa dc 3 ngày nhưng đã mún pass e đó đi ngay",2
"Quá hối hận khi mua trúng sp đểu như vậy, loa siêu nhỏ, nghe gọi phải mở loa lên cho cả làng nge, cảm biến chạm mạch khi bỏ vào túi quần, pin tụt nhanh, lâu lâu còn bị đứng máy khi kết thúc cuộc gọi. ",1
"Định mua em này mà thấy mọi người chê nhiều quá. Nhưng vẫn thích samsung hơn các dòng khác. Thôi chéc giành tiền mua S10 cho bền. Đang dùng em J7 prime thấy cũng bền cực rồi, tuy nhiên lâu quá nên muốn đổi mới tý",1
"Sam sung giờ đc cái thương hiệu thôi. Dùng chán lắm. Tôi mua bán lại ko kịp.vân tay yếu đc cái bề ngoài",1
"Loa thì nhỏ xíu pin thì nhanh hết bo túi thì tự khởi động nhảy lung tung cái đt này mà 15 triệu thật sự không đán tiền ",1
"1 chiếc điện thoại khá nhiều lổi vặt . củng đành chịu thôi . hazz vì samsung mà tầm trung thì họ không khi nào làm hoàn thiện 100% được này mất kia .",3
"Rất bình thường và đơn giản không hữu ích không tiện lợi cho người dùng hằng ngày",3
"Sau khi sử dụng máy được 3 ngày mình có Đôi lời đến 1 số bạn có ý định mua SS A80.
1. Mua với mục đích Làm việc thì ok. Chơi game thì không nên mua .
2. Máy nhận vân tay không nhạy
3. Thỉnh thoảng bị đơ máy khoảng 2s-3s.
3. Pin Tụt nhanh khi chơi game
4. trong khó nghe.",3
"Ko hổ trợ thẻ nhớ dung lượng pin kém chỉ được cái camera chả được gì làm máy anh mi ni thì được ",1
"Chơi game nóng máy rất nhanh và phải nói là rất nóng mặc dù đồ họa để mức trung bình. Khi nóng máy rất hay đơ màn hình. Cảm ứng k nhạy khi nóng máy. Loa thoại và loa ngoài bé.. còn lại dùng dk. Với cấu hình này mà máy chỉ như vậy dù rất ghét tàu khựa nhưng a e nên suy nghĩ mấy máy của tàu khựa. Nó nhanh và mượt mà hơn của Samsung nhiều.",2
"Trải nghiệm máy ban đầu camera trước nhìn không chắc chắn khe hở lớn màn hình khá là to pin tụt 15% khi chơi 1 ván liên quân 18p29s ",3
"Sạc pin còn lâu hơn a8 2018. Vân tay ko nhạy. Và rất bực mình vs vân tay. Quảng cáo 30p đc 55% nhưng thực ra 1h mới sạc đc 40%",1
"Quay video dưới mức trung bình. Pin tụt nhanh, ảnh chụp tạm chấp nhận được. Nói chung so với A50 thì chỉ hơn cái chíp S730 còn lại thua. Một cái máy 15 củ.. quá là chán. A e mua sau phải suy nghĩ thật kỹ, mình khuyên thật đấy. Không biết về lâu dài samsung có cập nhật, nâng cấp gì cho không chứ chưa bao giờ mua cái dt nào của samsung lại gây thất vọng nhiều như samsung galaxy A80.",2
"1. Cảm biết vân tay thua Zenfone 5.
2. Chụp hình vẫn thua ca Zenfone 5.
3. Nghe nhạc (xử lý âm thamh) zenfone 5: 10, Galaxy A8: 2
Đây là cảm nhận riêng và thực tế vậy thôi. Chấp nhận gạch dá",2
"Màu mới 
máy đẹp tuyệt vời.hy vọng giá tốt.Chip 7130 mà.có nhầm j k.hy vọng tôi nhầm.",1
"Lấy máy về 2 ngày bị lỗi vân tay. Nhận diện khuôn mặt cũng chậm. Không đáng giá tiền tí nào. Chán😟",2
"dùng nửa tháng mọi thứ thấy ổn chỉ ngôn ngữ nhập bằng dọng nói ko có tiếng việt chán thế. mà giá tụt nhanh quá mua nửa tháng trước đăt hơn 2 triệu xót ruột thật",3
"Máy  điện thoại sam sung s10lite mình sài thấy rất mượt  nhưng bin  4500 mà sai có 5 tiếng đá hết bin như bin 3000 vậy sam sung quảng cáo ko đúng ngư quảng cáo với máy ra đuọc hơn hai tháng rồi mà phụ kiện của điện thoại như bao da hay kính cường lực mà chẳng có mình đi hỏi thì người ta bảo máy này ít người sài minhg suốt ngày chị sợ vỡ màn hinhg thôi.",2
"Mua được gần 1 tháng 
Máy bắt sóng mạng 4g yếu con lại vẫn tốt
Sài thêm vài bửa coi sao",3
" Cảm thấy ko hài lòng với sản phẩm mặc dù thuộc vào dòng cùng cao giá nhưng cảm thấy ko ổn ",1
"Nhận xét sau 3 ngày dùng máy :
- Ưu điểm : Camera ok, cảm ứng mượt, đa nhiệm tốt, màn hình hiển thị đẹp, trọng lượng máy vừa phải cầm lâu không nặng vs mõi tay.
Khuyết điểm: Vân tay chậm, pin chưa dc trâu lắm, máy khá dài k cân đối, mặt lưng nhựa bám nhìu mồ hôi và vân tay",3
"Chụp hình quá tệ.không đáng với giá trị bỏ ra.mọi ng cân nhẵc trk khi mua.quá tệ với số tiền trên 13tr",1
"Máy dùng mượt.chỉ tôi ng hết pin .xem phim chỉ dùng dc 3.4 tieg là là pin.mang tiếng pin 4500",2
"Đả mua tại điên máy xanh.dùng facebook với trình duyệt web.máy nhiều khi tự xoay ngang màn hình rất ức chế.dù đang để chế độ màn hình dọc",1
"Mình mới mua máy đc 20 hôm,  để qua đêm pin nó giảm 5-6%. Cho mình hỏi pin như vậy có bị lỗ ko",3
"Nhiều cái hiển thị kg đúng màu
Kg biết lỗi máy hay do chíp đồ hoạ
Rõ ràng là chọn kiểu chữ màu đỏ
Mà kg lên nổi màu",3
"Nhận xét sau gần 1 tháng: Máy đa nhiệm kém, đang dùng app này mà chuyển sang app khác vài giây sẽ thường xuyên bị reset lại app. Nhiều khi kì cạch gõ tin nhắn có việc gì phải chuyển sang app khác vài giây lúc đảo lại app nó reset lại app thế là lại kì cạch gõ lại từ đầu khá là khó chịu. Gần đây máy giật, lag mặc dù chỉ chạy 1, 2 app nhẹ, hay bị tình trạng tự tắt app khi sử dụng. Đang nhắn tin kì cạch chưa kịp send thì tự dưng nó tắt ngóm app lại phải bật và mất công gõ lại.
Mở khóa vân tay kém. Còn ảnh chưa chụp tấm nào nên chưa có đánh giá.
Nói chung mua máy này ngoài ưng ngoại hình ra thì có trải nghiệm khá tệ.",1
"tai nghe khó kết nối với máy không hiểu sao.tai nghe mang đau tai, pin rút hơi nhanh.",3
"ngồi kế bên các máy hạng thấp hơn mà bắt mạng 4g yếu hơn. hay rớt mạng",3
"Tất cả hiện tại vẫn ổn, mỗi tội cảm biến vân tay quá kém... thời buổi dịch corona thì làm sai mà mở khóa khuôn mặt được trong khi đang đeo khẩu trang?",3
"Vừa sử dụng ít hôm mình thấy thế này.
 -Pin dung lượng khá nhưng nếu bạn nào kết nối tai nghe và đồng hồ qua blut mà k dùng thì pin vẫn tụt khá nhanh.
 -Về lỗ sạt thì cắm vào cảm giác nó khá lỏng
- cảm biến vân tay thì nhận dạng không đc mượt cho lắm
 ",3
"Mic thu âm cực tệ. Chơi game mic nói chuyện thua máy 2-3tr. Đem bảo hành phán câu tại dòng máy này nó vậy",1
"Điện thoại 15 triệu mà mặt lưng nhựa, kính cường lực gorilla glass 3. Xài chất liệu rẻ tiền mà cứ bán giá trên trời!",1
"Nhận xét sau gần 1 tháng: Máy đa nhiệm kém, đang dùng app này mà chuyển sang app khác vài giây sẽ thường xuyên bị reset lại app. Nhiều khi kì cạch gõ tin nhắn có việc gì phải chuyển sang app khác vài giây lúc đảo lại app nó reset lại app thế là lại kì cạch gõ lại từ đầu khá là khó chịu. Gần đây máy giật, lag mặc dù chỉ chạy 1, 2 app nhẹ, hay bị tình trạng tự tắt app khi sử dụng. Đang nhắn tin kì cạch chưa kịp send thì tự dưng nó tắt ngóm app lại phải bật và mất công gõ lại. Mở khóa vân tay kém. Còn ảnh chưa chụp tấm nào nên chưa có đánh giá. Nói chung mua máy này ngoài ưng ngoại hình ra thì có trải nghiệm khá tệ.",2
"Máy quá kém chơi game thì giật giật máy mau nóng quá không hợp với giá 13 triệu đó giờ xài oppo không giờ mua samsung kg dám mua cái thứ 2....QUÁ TỆ",1
"Pin tuột nhanh, camera trước và chụp cực tệ. Mặt lưng nhựa rẻ tiền, bắt wifi kém, jack sạc lỏng....
Không đáng với số tiền trên. Thất bại.",1
"Sài cái này xong chắc ko bao giờ mua của samsung nữa. Ko tiền thì xài cục gạch còn có tiền mua iphone mà xài ! Máy 13tr mà bắt sóng kém kinh khủng thua cả j7 prime nữa. Vân tay thì kém 3 4 lần mới mở dc.mua chưa dc tuần thất vong kinh khủng !",1
"Chiếc máy này ngoại trừ chip SD855 ko có j nổi bật, cam xấu và hay bệt màu, thiếu sáng rất tệ, mặt lựng nhựa dễ xước, dấu vân tay khác hoàn toàn quảng cáo chậm và nhận diện sai, giá tiền ko xứng đáng, với số tiền này bạn có thể mua đc chip 865 màn hình 120hz. Như Mi10, IQoo3 đều vượt trội hơn s10lite giá rẻ hơn. Reviewer của thế giới di động đánh giá ko trung thực về sản phẩm",1
"Mình đã xài 2  cái updat lên rồi loa hát rè như muốn đức cái màn nhỉ vậy đó kg đáng đồng tiền minh bỏ ra voi 14990 thua rồi",1
"Minh Sài cái thứ 2 úpdat song loa rè tưởng chùng như muón đức cái màn nhỉ sốt ruột cái máy ak ",1
"Camera thực sự rất tồi còn không nét bằng A51 hay A71,vừa mua xong phải bán đi ngay cho đỡ ức chế",2
"Ko biết do đang dùng iphone quen rồi hay do ít chụp ảnh mà cảm giác camera 48mpx nhưng thấy cùi bắp lắm,pin hay cấu hình thì ok rồi",3
"mặt lưng nhựa thấy chá quá. chíp thì ngon nên lên thẳng s10 plus giá cũng chỉ 16tr",1
"Camera chụp đêm cực mờ dù đã hiệu chỉnh các kiểu.nhận diện khuôn mặt lúc được luac không.ghét mỗi 2 điểm này còn lại cũng oke.khéo chuyển sang dùng iphone thôi.",3
"Mua dc 2 tháng thì bị lội bộ sắc cảm thấy thất vọng với tâm già này.vẫn tay thì chậm.mờ khóa khuôn mặt thì tệ vô cùng.mang hình HD mà thưa mang hình của j7 chỉ là HD mà còn sát nét hơn nhịu.",1
"Máy dùng quá chán nghe gọi không được rõ. Người bên kia nge không được. Cảm biến vân tay gần như không dùng được ",1
"Chậm quá. Bán phím gõ dễ nhầm. Mới mua đc gần 1 tháng nhưng khả năng chịu lỗ bán thôi chứ dùng chậm lắm",2
"Loa của máy rè. Nhận Vân tay chậm, khuôn mặt, lúc đc lúc ko",1
"Tưởng lổi 1 cái, ai dè đổi cái mới cũng y chan ,quá trời lổi trên sp,cập nhật phần mềm sài được 1 bữa  lại lổi tiếp. ko biết samsung tung ra sp này ra mà chưa kiểm lổi hết hả j á ,yêu cầu có chính sách đổi mới dòng khác, đợi phản hồi từ điện máy xanh và thi tgdd,  chứ mất lòng tin quá rồi!!  ",1
"Loa trong rất rè. Ra cửa hàng thì xem máy khác vẫn bị, quản lý bảo máy nào cũng vậy",1
"Mua cái máy đầu (note 10 lite) khoảng hơn tuần, sử dụng vân tay quá tệ, máy quá chậm. Mang ra đổi máy mới (27.3), về text thử: vân tay lúc dc lúc k (text ngoài cửa hàng thì tạm ổn), chụp ảnh mở flash khi mở đèn phòng thì mờ, tắt đèn thì tối thui lun? Chờ phản hồi CSKH của TGDĐ, chính sách đổi trả dòng khác? Thân",1
"Chỉ biết nói 2 từ, rất tệ khuyên mọi người có ý định thì nên thay đổi  mình mới mua sau 20 ngày rớt giá cu và 2 đối máy nhưng lỗi tin nhắn lỗi mensenge lỗi bắt sóng nói chung không thể tả nổi với cái máy 14 triệu quá tệ ",1
"máy thật sự tệ. Pin kém, vân tay lỗi phần mềm, không samsung pay... bỏ gần 14tr cho cái máy này chỉ vì thích dòng Note là 1 sai lầm của mình. chắc dùng Iphone luôn cho đỡ phải nghĩ ngợi quá.",2
"- Màn hình rất dài nên thao tác khó
- Chất lượng hiển thị kém
- Vân tay quá tệ, mở khóa rất mất thời gian và khó khăn
- Pin 4500mAh nhưng mau hết
=> Mua được 2 hôm đã phải trả máy và mất 20% giá máy",1
"Mua được 1 tuần cảm nhận thấy muốn đổi lướt wet đứng pin 4500 như 3000 tầm 10tr rất thật vọng",2
"Số tiền bỏ ra không xứng đáng với chất lượng nhận lại. Vân tay hầu như dùng không được. Camera quá kém",2
"Mới mua hôm 29.02 . Về tới nhà cài đặt cái vân tay ôi thôi, muốn quay về dùng lại cái điện thoại cũ. Anh chị em xem kĩ hãy mua nhé. Hối tiếc với số tiền bỏ ra .",1
"Đã đổi trả 3 máy note 10 lite
Qua trải nghiệm: bắt sóng kém ( so sánh thực tế nhiều loại máy cùng 1 sim 1 thời điểm) lắp 1 sim thì chơi game ok, 2 sim thì lag, kết nối chập chờn
Camera trước lỗi trong messenge face: camera zoom tạo ánh hồng
Sau 2 tuần trải nghiệm con note 10 thứ 3 và đang chuẩn bị đổi s10 lite",1
"Máy dùng bình thường. Cản biến vân tay không nhạy. Thỉnh thoảng mới mở được bằng vân tay.  Khả năng hiển thị ngoài trời rất kém. Ra ngoài nắng là màn hình mờ tịt.",2
"Cả nhà sản xuất và nhà bán hàng đều phớt lờ tính năng Samsung Pay bị loại bỏ trên Note 10 Lite",2
"Sóng yếu 
Vân tay tệ 
Nhận diện khuôn mặt vô dụng 
Màn hình ra sáng ko.nhìn thấy gì 
Sai lầm khi mua note 10 lite",1
"Máy bị đứng hoài.. mua xài đc 4 tháng.. lúc đầu mọi thứ bình thường.. nhưng càng ngày máy càng chậm và hay bị đứng, nhiều khi phai reset máy lại..
Giá thành như vậy thì mua oppo rẻ hơn.. oppo mua xài 2 năm máy mới bắt đầu đứng và chậm.. còn này mới mua 4 tháng.. xài chán hơn cùi bắp..
Quá bực",2
"Các bác đánh giá về cảm biến vân tay thì not10 lite tệ là do dán cường lực đó. Tớ thấy vẫn ok",3
"Hơn chục triệu mà mặt lưng nhựa, chả bằng con Bphone3 7 triệu cũng có mặt lưng.kính
",3
"Vân tay nhận diện lâu quá, Chơi game tí là nóng máy. Chán. Thua con nova 3i, chiến game chả thấy nóng gì cả.",2
"Mua về chưa dc 1 tháng mà cảm thấy thất vọng. Cam trước chất lượng ảnh quá tệ khi chụp thiếu sáng ,chip khá yếu,  ... Tiếc Không có chuong trình doi tra cho dong may nay ",2
"Vân tay quá chậm, mau hết pin, sạc nóng máy đt mới mua chưa đc 1 tuần chán ơi là chán",2
"Minh dung con note +.lỗi phần chân sac pin,nó tích hợp quá nhiều ứng dụng công năng vì thế thời tiết ẩm ướt là ko sạc được pin.mới mua máy vài hôm sạc pin không vào ra hỏi TTBH ss.nó trả lời lỗi ro người dùng bị dính nước ,tư vấn mình thay cụm chân sạc nếư đồng ý phải thanh toán hơn 1tr.",1
"Cảm biến vân tay không nhạy ,nhận dạng khuôn mặt chậm như rùa , tự động điều chỉnh độ sáng màn hình hoạt động không chính xác đắt so với giá tiền 14 củ",2
"Cam quá tệ. Mờ tịt . Cam trước còn tạm tạm.  Máy móc tạm thời mới vẫn mượt. Ko biet sau thế nào. Nản",1
"Máy dùng quá chán từ bỏ sam sung thôi, không bao h dung sam nữa nếu không từ bỏ chíp exynos.",1
"Mua đc 3 tuần. Lần đầu tiên đánh giá 1 sản phẩm. Quá tệ. Vân tay kg xài đc. Máy chạy chậm. Ai có ý định mua thì đừng nên mua. Thua con A6. ",1
"Máy pin chán quá 4500 mà như 3500 lại còn chập chờn sóng sánh nữa. Mặt lưng thì nhựa trong khi dưới 10 tr hãng khác lưng kính cả rồi, chíp thì đã 2 năm tuổi rồi. Samsung vẫn thế cấu hình dưới đất mà giá lại trên trời",1
"Dual sim giật lag kết nối chập chờn, 1 sim xài ok ( test trên 3 dòng thiết bị, cùng 1 sim 1 thời điểm)
Camera trước messenge face book lỗi ánh hồng khi zoom
Trải nghiệm 2 tuần và đã đổi 3 máy đều như 1",2
"Cái này có chống nước với chống bụi không, cái này với cái s10 lite cái nào sài ngon hơn",2
"Tầm giá 10 củ Tiếc 1 chỗ là hok kháng nước, kháng bụi ^-^ nếu có thêm tính năng đó nữa là hết sảy con bà bảy",3
"Cấu hình máy Samsung galaxy note 10 lite và Samsung galaxy S10 lite máy nào mạnh hơn, và camera máy nào chụp ảnh đẹp hơn ",3
